id,name,score,subject
115,밍키,56,수학
116,성춘향,97,수학
117,밍키,78,수학
118,성춘향,58,과학
119,이몽룡,99,수학
120,이몽룡,86,수학
121,이몽룡,95,과학
122,성춘향,72,수학
123,홍길동,83,수학
124,이몽룡,56,영어
125,이몽룡,98,영어
126,홍길동,84,수학
127,밍키,93,과학
128,이몽룡,64,과학
129,이몽룡,73,과학
130,홍길동,88,과학
131,이몽룡,95,영어
132,성춘향,79,영어
133,밍키,68,영어
134,이몽룡,76,과학
135,이몽룡,82,영어
136,밍키,83,영어
137,이몽룡,84,수학
138,홍길동,50,영어
139,성춘향,58,수학
140,밍키,52,영어
141,밍키,74,수학
142,밍키,86,과학
143,성춘향,86,영어
144,홍길동,83,수학
145,이몽룡,95,수학
146,성춘향,62,수학
147,이몽룡,59,수학
148,홍길동,90,수학
149,홍길동,53,영어
150,이몽룡,53,수학
151,성춘향,55,과학
152,성춘향,50,영어
153,밍키,80,수학
154,성춘향,53,과학
155,밍키,59,과학
156,성춘향,85,영어
157,성춘향,73,영어
158,이몽룡,97,수학
159,밍키,66,과학
160,이몽룡,65,과학
161,성춘향,93,과학
162,밍키,71,영어
163,밍키,73,영어
164,이몽룡,100,영어
165,이몽룡,65,영어
166,성춘향,83,영어
167,밍키,96,수학
168,홍길동,97,과학
169,이몽룡,72,수학
170,이몽룡,57,과학
171,이몽룡,57,과학
172,이몽룡,75,영어
173,밍키,99,과학
174,이몽룡,57,영어
175,홍길동,72,수학
176,이몽룡,54,과학
177,홍길동,74,과학
178,홍길동,75,과학
179,이몽룡,67,영어
180,이몽룡,78,영어
181,밍키,96,과학
182,성춘향,91,수학
183,밍키,76,영어
184,밍키,88,과학
185,이몽룡,70,과학
186,성춘향,54,영어
187,홍길동,70,영어
188,이몽룡,71,과학
189,이몽룡,83,수학
190,이몽룡,97,영어
191,이몽룡,71,영어
192,이몽룡,78,과학
193,성춘향,70,영어
194,밍키,54,과학
195,성춘향,83,과학
196,성춘향,91,영어
197,이몽룡,89,과학
198,이몽룡,52,과학
199,홍길동,97,과학
200,성춘향,56,수학
201,밍키,94,영어
202,홍길동,78,수학
203,홍길동,93,영어
204,홍길동,87,영어
205,밍키,99,수학
206,홍길동,68,과학
207,이몽룡,96,과학
208,이몽룡,86,영어
209,성춘향,94,과학
210,홍길동,62,과학
211,밍키,50,수학
212,밍키,100,수학
213,이몽룡,58,수학
214,홍길동,96,과학
215,홍길동,71,수학
216,홍길동,79,영어
217,밍키,96,영어
218,밍키,98,영어
219,이몽룡,57,영어
220,성춘향,85,수학
221,성춘향,91,수학
222,밍키,71,영어
223,이몽룡,85,과학
224,이몽룡,70,과학
225,이몽룡,99,과학
226,성춘향,76,과학
227,성춘향,86,영어
228,이몽룡,67,수학
229,성춘향,69,수학
230,밍키,53,과학
231,성춘향,60,수학
232,성춘향,84,과학
233,성춘향,82,영어
234,밍키,71,영어
235,이몽룡,51,수학
236,이몽룡,93,영어
237,밍키,51,영어
238,이몽룡,84,수학
239,성춘향,64,영어
240,이몽룡,63,수학
241,홍길동,67,과학
242,이몽룡,58,수학
243,성춘향,93,영어
244,성춘향,81,수학
245,이몽룡,77,영어
246,성춘향,72,영어
247,이몽룡,58,과학
248,성춘향,73,수학
249,홍길동,91,영어
250,성춘향,61,과학
251,밍키,70,수학
252,이몽룡,56,과학
253,홍길동,94,수학
254,홍길동,88,과학
255,이몽룡,54,영어
256,홍길동,100,수학
257,이몽룡,91,영어
258,이몽룡,68,과학
259,이몽룡,99,영어
260,밍키,90,영어
261,이몽룡,98,영어
262,이몽룡,83,수학
263,밍키,100,과학
264,성춘향,72,영어
265,성춘향,63,과학
266,이몽룡,56,영어
267,밍키,69,수학
268,성춘향,83,과학
269,성춘향,78,영어
270,성춘향,67,영어
271,성춘향,79,영어
272,밍키,58,수학
273,홍길동,53,영어
274,홍길동,79,과학
275,홍길동,65,영어
276,밍키,74,수학
277,홍길동,77,영어
278,홍길동,80,과학
279,성춘향,79,수학
280,밍키,54,과학
281,밍키,98,영어
282,성춘향,76,영어
283,성춘향,53,영어
284,이몽룡,71,영어
285,밍키,91,과학
286,홍길동,86,수학
287,밍키,98,수학
288,홍길동,59,과학
289,이몽룡,87,과학
290,성춘향,93,과학
291,홍길동,67,수학
292,밍키,85,수학
293,이몽룡,60,수학
294,이몽룡,62,과학
295,홍길동,71,영어
296,성춘향,60,수학
297,성춘향,84,과학
298,성춘향,53,영어
299,홍길동,50,영어
300,밍키,57,수학
301,홍길동,100,수학
302,밍키,83,수학
303,홍길동,96,과학
304,밍키,79,과학
305,이몽룡,81,영어
306,성춘향,87,영어
307,이몽룡,89,과학
308,성춘향,66,과학
309,밍키,100,영어
310,홍길동,97,수학
311,이몽룡,54,수학
312,성춘향,100,수학
313,이몽룡,76,과학
314,밍키,93,영어
315,성춘향,92,영어
316,이몽룡,63,과학
317,성춘향,93,과학
318,성춘향,94,과학
319,밍키,79,영어
320,이몽룡,56,수학
321,홍길동,98,과학
322,홍길동,54,영어
323,성춘향,91,수학
324,밍키,94,영어
325,밍키,100,수학
326,밍키,70,영어
327,성춘향,79,수학
328,이몽룡,77,영어
329,이몽룡,96,수학
330,홍길동,56,수학
331,밍키,56,영어
332,홍길동,55,영어
333,이몽룡,71,영어
334,홍길동,52,과학
335,성춘향,56,과학
336,이몽룡,77,영어
337,밍키,90,영어
338,성춘향,56,영어
339,이몽룡,70,영어
340,성춘향,72,영어
341,홍길동,93,영어
342,밍키,51,수학
343,성춘향,97,과학
344,밍키,77,영어
345,밍키,54,영어
346,밍키,77,과학
347,밍키,61,영어
348,밍키,73,수학
349,이몽룡,81,과학
350,홍길동,60,수학
351,이몽룡,90,영어
352,밍키,73,과학
353,성춘향,72,수학
354,홍길동,65,영어
355,이몽룡,63,수학
356,이몽룡,69,영어
357,이몽룡,95,영어
358,밍키,71,영어
359,홍길동,100,과학
360,성춘향,79,과학
361,이몽룡,66,수학
362,이몽룡,60,수학
363,홍길동,82,과학
364,홍길동,77,수학
365,밍키,70,과학
366,성춘향,53,영어
367,성춘향,60,영어
368,밍키,79,과학
369,성춘향,63,수학
370,홍길동,66,영어
371,홍길동,83,과학
372,이몽룡,92,영어
373,이몽룡,78,수학
374,이몽룡,88,과학
375,성춘향,55,과학
376,밍키,97,영어
377,밍키,87,과학
378,이몽룡,92,영어
379,성춘향,80,수학
380,밍키,81,과학
381,이몽룡,87,수학
382,성춘향,59,과학
383,홍길동,88,영어
384,이몽룡,87,수학
385,이몽룡,52,영어
386,성춘향,77,영어
387,이몽룡,90,수학
388,성춘향,95,과학
389,성춘향,89,과학
390,홍길동,51,과학
391,성춘향,68,과학
392,홍길동,63,과학
393,이몽룡,90,과학
394,홍길동,51,수학
395,이몽룡,59,과학
396,밍키,57,영어
397,성춘향,53,과학
398,이몽룡,52,수학
399,홍길동,94,수학
400,이몽룡,61,수학
401,밍키,92,영어
402,이몽룡,75,영어
403,성춘향,72,수학
404,성춘향,78,수학
405,성춘향,53,영어
406,홍길동,65,수학
407,이몽룡,91,수학
408,이몽룡,92,영어
409,홍길동,90,영어
410,이몽룡,67,과학
411,홍길동,69,수학
412,성춘향,55,영어
413,홍길동,89,과학
414,홍길동,92,수학
415,밍키,62,수학
416,밍키,77,과학
417,성춘향,65,과학
418,이몽룡,70,영어
419,밍키,71,과학
420,이몽룡,78,영어
421,홍길동,61,과학
422,홍길동,61,수학
423,홍길동,100,과학
424,홍길동,95,영어
425,성춘향,86,수학
426,이몽룡,69,수학
427,성춘향,77,과학
428,밍키,88,과학
429,밍키,74,수학
430,홍길동,95,영어
431,성춘향,57,영어
432,밍키,67,수학
433,성춘향,68,수학
434,홍길동,68,수학
435,이몽룡,70,과학
436,홍길동,98,영어
437,홍길동,89,과학
438,성춘향,52,과학
439,이몽룡,96,과학
440,홍길동,82,과학
441,이몽룡,96,수학
442,홍길동,54,영어
443,이몽룡,71,영어
444,홍길동,96,영어
445,이몽룡,84,영어
446,성춘향,97,영어
447,이몽룡,64,수학
448,이몽룡,67,영어
449,이몽룡,51,과학
450,성춘향,64,영어
451,성춘향,97,과학
452,밍키,98,과학
453,홍길동,79,과학
454,이몽룡,95,과학
455,밍키,78,과학
456,성춘향,57,과학
457,홍길동,61,수학
458,성춘향,100,수학
459,성춘향,57,과학
460,밍키,92,영어
461,홍길동,57,과학
462,밍키,72,영어
463,밍키,61,수학
464,성춘향,83,과학
465,밍키,53,과학
466,이몽룡,71,영어
467,홍길동,99,영어
468,밍키,73,과학
469,밍키,56,과학
470,성춘향,71,과학
471,홍길동,68,영어
472,밍키,60,영어
473,이몽룡,88,수학
474,성춘향,85,영어
475,밍키,87,영어
476,성춘향,54,수학
477,홍길동,50,과학
478,이몽룡,68,수학
479,밍키,92,과학
480,이몽룡,55,과학
481,성춘향,88,영어
482,밍키,68,영어
483,이몽룡,77,수학
484,성춘향,69,과학
485,이몽룡,81,수학
486,성춘향,100,영어
487,이몽룡,50,수학
488,성춘향,95,수학
489,성춘향,94,영어
490,성춘향,54,수학
491,이몽룡,78,수학
492,이몽룡,95,과학
493,이몽룡,73,과학
494,홍길동,97,과학
495,밍키,97,수학
496,밍키,68,영어
497,성춘향,80,과학
498,성춘향,73,영어
499,성춘향,90,영어
500,이몽룡,69,수학
501,홍길동,89,과학
502,이몽룡,91,영어
503,이몽룡,63,영어
504,홍길동,62,과학
505,성춘향,51,수학
506,홍길동,98,영어
507,홍길동,94,수학
508,밍키,80,과학
509,밍키,75,영어
510,홍길동,83,과학
511,성춘향,100,수학
512,이몽룡,91,과학
513,이몽룡,80,수학
514,홍길동,60,수학
515,밍키,72,수학
516,밍키,72,과학
517,이몽룡,53,과학
518,성춘향,56,수학
519,이몽룡,77,수학
520,밍키,70,과학
521,이몽룡,65,영어
522,홍길동,84,과학
523,밍키,59,영어
524,밍키,91,영어
525,성춘향,98,영어
526,이몽룡,52,과학
527,밍키,87,수학
528,성춘향,61,수학
529,홍길동,54,과학
530,성춘향,64,과학
531,밍키,94,영어
532,이몽룡,79,영어
533,이몽룡,78,과학
534,밍키,79,영어
535,성춘향,98,영어
536,홍길동,66,과학
537,밍키,98,과학
538,이몽룡,54,영어
539,홍길동,51,수학
540,밍키,68,수학
541,성춘향,94,과학
542,홍길동,97,영어
543,밍키,61,영어
544,밍키,75,영어
545,홍길동,51,과학
546,밍키,68,과학
547,성춘향,61,과학
548,이몽룡,68,수학
549,이몽룡,94,수학
550,홍길동,85,수학
551,성춘향,55,과학
552,홍길동,100,수학
553,이몽룡,75,영어
554,성춘향,77,과학
555,밍키,89,수학
556,이몽룡,98,수학
557,홍길동,82,과학
558,성춘향,82,영어
559,밍키,51,수학
560,이몽룡,50,과학
561,홍길동,94,수학
562,밍키,81,영어
563,성춘향,92,수학
564,밍키,56,영어
565,이몽룡,86,영어
566,밍키,63,과학
567,밍키,51,영어
568,밍키,84,수학
569,성춘향,73,과학
570,밍키,71,수학
571,밍키,54,수학
572,성춘향,60,수학
573,성춘향,63,과학
574,홍길동,51,과학
575,성춘향,78,영어
576,밍키,97,영어
577,이몽룡,64,과학
578,이몽룡,72,영어
579,이몽룡,67,수학
580,이몽룡,67,수학
581,성춘향,89,영어
582,밍키,83,과학
583,성춘향,86,수학
584,홍길동,96,수학
585,홍길동,70,영어
586,밍키,75,과학
587,홍길동,56,영어
588,밍키,100,수학
589,성춘향,83,수학
590,홍길동,81,수학
591,성춘향,83,영어
592,성춘향,63,수학
593,성춘향,64,영어
594,홍길동,73,과학
595,성춘향,92,영어
596,성춘향,92,영어
597,홍길동,85,영어
598,밍키,69,영어
599,성춘향,95,영어
600,밍키,98,영어
601,밍키,80,과학
602,밍키,87,과학
603,성춘향,99,영어
604,이몽룡,81,과학
605,밍키,56,영어
606,이몽룡,64,영어
607,성춘향,80,영어
608,이몽룡,81,과학
609,성춘향,65,영어
610,성춘향,71,과학
611,홍길동,92,과학
612,밍키,90,과학
613,이몽룡,88,과학
614,성춘향,98,수학
615,홍길동,55,영어
616,성춘향,66,과학
617,밍키,92,과학
618,성춘향,84,과학
619,밍키,64,과학
620,밍키,76,과학
621,밍키,95,과학
622,이몽룡,69,과학
623,밍키,70,영어
624,이몽룡,71,영어
625,이몽룡,69,영어
626,성춘향,69,과학
627,밍키,52,과학
628,이몽룡,97,수학
629,성춘향,71,과학
630,홍길동,76,과학
631,밍키,63,과학
632,성춘향,61,수학
633,이몽룡,90,영어
634,성춘향,71,영어
635,성춘향,78,수학
636,밍키,92,과학
637,성춘향,53,과학
638,이몽룡,99,영어
639,홍길동,56,영어
640,홍길동,55,과학
641,홍길동,99,영어
642,홍길동,68,수학
643,성춘향,50,수학
644,성춘향,96,수학
645,성춘향,57,수학
646,밍키,97,과학
647,홍길동,58,수학
648,밍키,82,수학
649,밍키,100,수학
650,성춘향,96,수학
651,성춘향,63,과학
652,이몽룡,55,과학
653,성춘향,74,영어
654,이몽룡,57,과학
655,이몽룡,83,과학
656,홍길동,67,과학
657,성춘향,53,수학
658,홍길동,83,과학
659,이몽룡,82,영어
660,성춘향,76,과학
661,홍길동,70,수학
662,이몽룡,58,영어
663,이몽룡,60,과학
664,밍키,87,영어
665,성춘향,57,과학
666,이몽룡,52,과학
667,성춘향,80,수학
668,밍키,57,수학
669,밍키,80,영어
670,밍키,70,영어
671,홍길동,52,수학
672,이몽룡,55,과학
673,성춘향,74,과학
674,홍길동,71,영어
675,이몽룡,78,과학
676,밍키,81,수학
677,이몽룡,53,수학
678,성춘향,72,과학
679,홍길동,94,수학
680,성춘향,81,영어
681,이몽룡,66,영어
682,성춘향,62,수학
683,밍키,55,수학
684,밍키,56,수학
685,홍길동,70,과학
686,홍길동,53,영어
687,밍키,61,영어
688,이몽룡,53,영어
689,성춘향,53,수학
690,이몽룡,53,수학
691,이몽룡,100,영어
692,홍길동,55,영어
693,성춘향,74,과학
694,밍키,67,과학
695,밍키,97,과학
696,홍길동,97,과학
697,이몽룡,91,영어
698,이몽룡,100,수학
699,성춘향,67,과학
700,성춘향,81,영어
701,성춘향,78,수학
702,밍키,91,과학
703,홍길동,77,수학
704,성춘향,62,영어
705,밍키,69,영어
706,이몽룡,89,과학
707,이몽룡,67,영어
708,이몽룡,61,영어
709,이몽룡,88,수학
710,밍키,62,영어
711,성춘향,73,과학
712,밍키,73,수학
713,홍길동,83,과학
714,밍키,92,수학
715,성춘향,95,과학
716,밍키,71,과학
717,성춘향,72,수학
718,성춘향,91,영어
719,이몽룡,68,수학
720,홍길동,83,과학
721,이몽룡,82,과학
722,밍키,93,과학
723,홍길동,74,과학
724,홍길동,65,과학
725,성춘향,89,과학
726,성춘향,80,영어
727,홍길동,59,과학
728,성춘향,81,영어
729,성춘향,84,과학
730,성춘향,54,수학
731,이몽룡,75,수학
732,홍길동,69,과학
733,이몽룡,92,과학
734,이몽룡,95,과학
735,밍키,75,수학
736,성춘향,86,영어
737,이몽룡,75,수학
738,밍키,65,영어
739,홍길동,66,수학
740,성춘향,71,과학
741,홍길동,75,수학
742,홍길동,95,수학
743,밍키,70,영어
744,성춘향,65,과학
745,성춘향,55,과학
746,홍길동,77,영어
747,홍길동,90,영어
748,성춘향,98,수학
749,성춘향,99,영어
750,홍길동,93,과학
751,밍키,60,과학
752,성춘향,56,영어
753,홍길동,100,영어
754,성춘향,86,과학
755,홍길동,95,수학
756,밍키,58,영어
757,홍길동,84,영어
758,홍길동,74,과학
759,밍키,92,과학
760,성춘향,83,수학
761,이몽룡,98,영어
762,홍길동,64,수학
763,이몽룡,66,영어
764,밍키,92,영어
765,이몽룡,99,과학
766,홍길동,74,영어
767,밍키,91,영어
768,성춘향,84,수학
769,홍길동,58,영어
770,홍길동,94,수학
771,홍길동,76,영어
772,홍길동,100,수학
773,밍키,66,영어
774,홍길동,86,수학
775,밍키,80,수학
776,이몽룡,100,과학
777,성춘향,97,영어
778,홍길동,100,수학
779,밍키,58,영어
780,이몽룡,57,수학
781,이몽룡,52,과학
782,밍키,70,영어
783,밍키,59,과학
784,이몽룡,81,수학
785,홍길동,76,수학
786,밍키,75,수학
787,성춘향,68,과학
788,밍키,77,수학
789,이몽룡,75,영어
790,성춘향,62,영어
791,홍길동,86,과학
792,밍키,93,영어
793,밍키,91,과학
794,홍길동,94,수학
795,성춘향,96,과학
796,성춘향,53,수학
797,밍키,97,수학
798,이몽룡,55,영어
799,홍길동,86,과학
800,홍길동,72,과학
801,홍길동,97,영어
802,밍키,75,수학
803,홍길동,70,과학
804,이몽룡,66,영어
805,밍키,70,과학
806,이몽룡,74,영어
807,밍키,63,과학
808,밍키,92,수학
809,밍키,85,과학
810,홍길동,100,수학
811,이몽룡,98,영어
812,밍키,90,수학
813,밍키,53,수학
814,이몽룡,98,영어
815,이몽룡,54,영어
816,이몽룡,52,수학
817,이몽룡,86,영어
818,성춘향,82,수학
819,홍길동,95,수학
820,성춘향,65,과학
821,밍키,51,영어
822,성춘향,93,수학
823,홍길동,96,수학
824,성춘향,80,과학
825,이몽룡,84,과학
826,성춘향,58,수학
827,이몽룡,56,영어
828,밍키,72,영어
829,홍길동,61,영어
830,이몽룡,87,과학
831,이몽룡,50,영어
832,이몽룡,98,영어
833,밍키,76,과학
834,성춘향,99,과학
835,이몽룡,63,과학
836,밍키,97,수학
837,밍키,65,수학
838,밍키,95,수학
839,홍길동,90,수학
840,홍길동,71,과학
841,이몽룡,62,수학
842,홍길동,66,영어
843,밍키,72,수학
844,밍키,69,과학
845,성춘향,70,영어
846,홍길동,73,과학
847,홍길동,68,영어
848,이몽룡,57,과학
849,밍키,56,과학
850,이몽룡,85,영어
851,홍길동,79,과학
852,밍키,68,영어
853,성춘향,94,수학
854,성춘향,68,영어
855,홍길동,84,수학
856,홍길동,69,과학
857,밍키,56,과학
858,성춘향,94,수학
859,홍길동,51,과학
860,밍키,99,과학
861,밍키,64,수학
862,홍길동,100,과학
863,성춘향,82,영어
864,이몽룡,82,과학
865,홍길동,58,영어
866,홍길동,84,과학
867,홍길동,96,수학
868,이몽룡,59,영어
869,성춘향,90,수학
870,밍키,55,수학
871,이몽룡,76,수학
872,이몽룡,62,영어
873,성춘향,73,과학
874,밍키,92,영어
875,성춘향,55,과학
876,홍길동,61,수학
877,홍길동,93,과학
878,홍길동,98,수학
879,홍길동,94,과학
880,이몽룡,53,수학
881,홍길동,75,과학
882,이몽룡,85,영어
883,이몽룡,81,과학
884,홍길동,91,수학
885,밍키,67,수학
886,이몽룡,65,수학
887,성춘향,87,수학
888,이몽룡,69,과학
889,홍길동,58,수학
890,성춘향,52,수학
891,밍키,71,영어
892,성춘향,97,영어
893,홍길동,84,영어
894,홍길동,69,과학
895,이몽룡,67,수학
896,홍길동,92,과학
897,홍길동,59,수학
898,이몽룡,95,수학
899,이몽룡,82,수학
900,이몽룡,80,영어
901,밍키,56,수학
902,밍키,93,영어
903,성춘향,66,수학
904,밍키,81,과학
905,홍길동,70,수학
906,홍길동,99,영어
907,이몽룡,57,과학
908,밍키,66,수학
909,이몽룡,99,과학
910,성춘향,53,수학
911,이몽룡,69,영어
912,성춘향,67,영어
913,성춘향,85,영어
914,밍키,53,수학
915,밍키,61,수학
916,홍길동,83,수학
917,이몽룡,80,영어
918,이몽룡,55,과학
919,성춘향,50,수학
920,이몽룡,59,영어
921,홍길동,66,수학
922,성춘향,86,영어
923,이몽룡,58,영어
924,이몽룡,54,과학
925,홍길동,70,수학
926,이몽룡,100,영어
927,홍길동,64,영어
928,홍길동,84,수학
929,성춘향,78,과학
930,밍키,69,영어
931,성춘향,50,영어
932,밍키,99,영어
933,홍길동,79,수학
934,밍키,81,수학
935,이몽룡,61,수학
936,홍길동,61,수학
937,홍길동,60,과학
938,홍길동,93,과학
939,밍키,74,과학
940,밍키,87,과학
941,성춘향,68,과학
942,성춘향,85,과학
943,홍길동,96,수학
944,밍키,65,과학
945,밍키,65,수학
946,밍키,75,수학
947,성춘향,86,수학
948,홍길동,58,과학
949,밍키,51,과학
950,홍길동,52,과학
951,이몽룡,60,영어
952,이몽룡,52,과학
953,홍길동,73,수학
954,밍키,99,영어
955,이몽룡,54,영어
956,밍키,93,과학
957,이몽룡,88,수학
958,성춘향,72,수학
959,밍키,61,영어
960,밍키,81,과학
961,이몽룡,80,수학
962,밍키,75,수학
963,밍키,92,영어
964,밍키,50,영어
965,밍키,53,수학
966,홍길동,81,과학
967,성춘향,64,과학
968,밍키,72,영어
969,성춘향,54,수학
970,홍길동,54,과학
971,밍키,92,수학
972,밍키,54,과학
973,성춘향,54,과학
974,홍길동,66,영어
975,홍길동,93,과학
976,성춘향,80,수학
977,밍키,79,수학
978,이몽룡,95,수학
979,홍길동,70,과학
980,밍키,84,영어
981,이몽룡,62,과학
982,성춘향,89,영어
983,성춘향,62,수학
984,홍길동,70,과학
985,성춘향,84,수학
986,홍길동,53,영어
987,이몽룡,85,수학
988,이몽룡,78,과학
989,밍키,78,수학
990,밍키,70,과학
991,밍키,75,수학
992,성춘향,69,영어
993,성춘향,76,수학
994,밍키,92,과학
995,밍키,68,수학
996,성춘향,78,수학
997,홍길동,82,과학
998,성춘향,92,영어
999,밍키,65,과학
1000,홍길동,57,수학
1001,이몽룡,53,영어
1002,밍키,69,영어
1003,밍키,86,수학
1004,홍길동,98,영어
1005,성춘향,78,과학
1006,성춘향,86,수학
1007,이몽룡,55,영어
1008,홍길동,100,수학
1009,홍길동,54,과학
1010,밍키,50,영어
1011,홍길동,51,과학
1012,성춘향,55,수학
1013,이몽룡,69,수학
1014,밍키,84,수학
1015,성춘향,78,과학
1016,밍키,79,영어
1017,홍길동,73,수학
1018,이몽룡,77,수학
1019,이몽룡,63,수학
1020,밍키,96,과학
1021,홍길동,51,수학
1022,성춘향,59,수학
1023,성춘향,84,수학
1024,홍길동,76,영어
1025,밍키,55,수학
1026,밍키,80,과학
1027,밍키,56,수학
1028,홍길동,96,과학
1029,이몽룡,85,과학
1030,밍키,61,수학
1031,홍길동,63,영어
1032,밍키,94,과학
1033,이몽룡,62,영어
1034,성춘향,51,영어
1035,밍키,81,수학
1036,성춘향,96,과학
1037,밍키,79,영어
1038,밍키,92,영어
1039,홍길동,55,영어
1040,이몽룡,95,영어
1041,밍키,85,영어
1042,홍길동,95,과학
1043,이몽룡,71,수학
1044,밍키,100,과학
1045,홍길동,59,과학
1046,홍길동,87,수학
1047,홍길동,59,영어
1048,밍키,97,과학
1049,밍키,100,수학
1050,성춘향,95,영어
1051,밍키,100,수학
1052,이몽룡,72,과학
1053,홍길동,60,수학
1054,이몽룡,93,과학
1055,성춘향,92,영어
1056,이몽룡,66,영어
1057,이몽룡,52,영어
1058,홍길동,68,과학
1059,이몽룡,67,영어
1060,성춘향,59,과학
1061,밍키,87,과학
1062,홍길동,60,수학
1063,성춘향,50,영어
1064,성춘향,69,수학
1065,홍길동,55,영어
1066,성춘향,88,수학
1067,성춘향,93,영어
1068,이몽룡,95,수학
1069,홍길동,52,영어
1070,이몽룡,63,과학
1071,밍키,55,수학
1072,이몽룡,87,영어
1073,밍키,53,수학
1074,홍길동,100,영어
1075,홍길동,96,영어
1076,밍키,79,영어
1077,성춘향,89,영어
1078,밍키,57,영어
1079,홍길동,56,수학
1080,밍키,78,수학
1081,홍길동,62,수학
1082,이몽룡,77,과학
1083,밍키,96,수학
1084,이몽룡,71,영어
1085,이몽룡,50,과학
1086,성춘향,66,영어
1087,성춘향,94,영어
1088,홍길동,61,수학
1089,홍길동,62,영어
1090,홍길동,60,수학
1091,이몽룡,54,영어
1092,홍길동,98,과학
1093,이몽룡,53,과학
1094,홍길동,70,수학
1095,홍길동,95,영어
1096,이몽룡,66,수학
1097,밍키,92,영어
1098,이몽룡,71,수학
1099,이몽룡,100,과학
1100,밍키,67,수학
1101,이몽룡,53,영어
1102,홍길동,89,영어
1103,성춘향,91,과학
1104,홍길동,80,과학
1105,밍키,85,영어
1106,성춘향,64,과학
1107,이몽룡,55,수학
1108,이몽룡,83,수학
1109,이몽룡,50,영어
1110,홍길동,55,영어
1111,성춘향,86,수학
1112,홍길동,80,수학
1113,홍길동,63,과학
1114,밍키,69,수학
1115,성춘향,52,과학
1116,홍길동,89,영어
1117,이몽룡,57,과학
1118,이몽룡,79,과학
1119,이몽룡,100,과학
1120,성춘향,61,과학
1121,이몽룡,73,과학
1122,밍키,95,과학
1123,홍길동,50,수학
1124,성춘향,57,과학
1125,홍길동,94,수학
1126,밍키,96,과학
1127,홍길동,68,수학
1128,밍키,79,수학
1129,성춘향,75,영어
1130,밍키,98,영어
1131,밍키,66,수학
1132,밍키,55,영어
1133,밍키,74,수학
1134,홍길동,58,영어
1135,성춘향,63,수학
1136,홍길동,69,수학
1137,이몽룡,52,수학
1138,성춘향,50,과학
1139,홍길동,62,수학
1140,홍길동,61,영어
1141,이몽룡,88,수학
1142,성춘향,89,과학
1143,홍길동,81,과학
1144,밍키,72,수학
1145,홍길동,56,영어
1146,이몽룡,53,수학
1147,이몽룡,53,영어
1148,홍길동,60,과학
1149,성춘향,90,수학
1150,이몽룡,98,과학
1151,밍키,94,수학
1152,성춘향,92,수학
